Cenario,Instancias,Usuarios,RPS,TempoResposta (ms)
Cenário 1 (1MB),1,100,9.943310406821425,56.09476287980215
Cenário 1 (1MB),1,400,9.89662679614798,43.99744370004555
Cenário 1 (1MB),1,800,9.89455125542602,44.805945463622265
Cenário 1 (1MB),2,100,9.92663296778802,53.53783781021775
Cenário 1 (1MB),2,400,9.898708843721378,43.78317556747788
Cenário 1 (1MB),2,800,9.89468404224811,44.21361810738745
Cenário 1 (1MB),3,100,9.9610887844631,55.91518951994658
Cenário 1 (1MB),3,400,9.894531677622108,45.0404845675439
Cenário 1 (1MB),3,800,9.891021792449092,45.27407588872848
Cenário 2 (400KB),1,100,9.908571819512831,58.07103482991806
Cenário 2 (400KB),1,400,9.912168166201775,55.806988907388586
Cenário 2 (400KB),1,800,9.886524991372015,56.47331250261232
Cenário 2 (400KB),2,100,9.912244473343478,66.4575807100482
Cenário 2 (400KB),2,400,9.897041535880255,55.73081573216768
Cenário 2 (400KB),2,800,9.897566111160508,55.48152016509448
Cenário 2 (400KB),3,100,9.910564231278318,69.26968763007608
Cenário 2 (400KB),3,400,9.901056219063284,55.99085332238246
Cenário 2 (400KB),3,800,9.892443803880054,54.35505264884341
Cenário 3 (300KB),1,100,9.9061967224769,171.01537091999936
Cenário 3 (300KB),1,400,9.893708662991852,56.64990961250017
Cenário 3 (300KB),1,800,9.877522418396124,56.41394796750108
Cenário 3 (300KB),2,100,9.910033623625395,65.73468853000011
Cenário 3 (300KB),2,400,9.87921166048296,55.84176104500017
Cenário 3 (300KB),2,800,9.87828961039434,55.94932389375072
Cenário 3 (300KB),3,100,9.905353812297657,67.76379185999872
Cenário 3 (300KB),3,400,9.88498280926581,54.78730294500194
Cenário 3 (300KB),3,800,9.87998848230894,54.29395801874855
